GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,4,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,75,381,8,4,15,84,9,22,4,21
tourguide,com.openclassrooms.tourguide.service,TourGuideService.AttractionDistance,0,9,0,0,0,4,0,1,0,1
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,7,220,1,13,2,44,2,16,1,10
tourguide,com.openclassrooms.tourguide.user,UserPreferences,35,18,0,0,15,7,10,1,10,1
tourguide,com.openclassrooms.tourguide.user,UserReward,16,12,0,0,7,5,3,1,3,1
tourguide,com.openclassrooms.tourguide.user,User,49,59,0,0,18,18,12,7,12,7
tourguide,com.openclassrooms.tourguide.tracker,Tracker,5,90,1,3,3,26,1,6,0,5
tourguide,com.openclassrooms.tourguide,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide,TourGuideController,45,3,0,0,8,1,6,1,6,1
